Date,EUR/USD Close,USD/JPY Close,USD/CHF Close,GBP/USD Close,USD/CAD Close,EUR/GBP Close,EUR/JPY Close,EUR/CHF Close,AUD/USD Close,GBP/JPY Close,CHF/JPY Close,GBP/CHF Close,NZD/USD Close
2017-03-21,1.08084,111.825,0.9943,1.24816,1.33407,0.86588,120.865,1.07454,0.77028,139.573,112.466,1.24105,0.7047
2017-03-22,1.0795,110.953,0.99188,1.24865,1.33391,0.86465,119.811,1.07087,0.76776,138.565,111.858,1.23839,0.70593
2017-03-23,1.07831,110.921,0.99301,1.25195,1.33507,0.86127,119.609,1.07077,0.7629,138.871,111.682,1.24315,0.70315
2017-03-24,1.08142,110.665,0.9894,1.25045,1.33788,0.86479,119.68,1.06994,0.7626,138.383,111.846,1.23719,0.7039
2017-03-27,1.08655,110.564,0.98502,1.2563,1.3369,0.8648,120.137,1.07008,0.7623,138.903,112.255,1.23723,0.70463
2017-03-28,1.08049,111.134,0.99267,1.24464,1.33812,0.8681,120.078,1.0726,0.7635,138.327,111.94,1.23552,0.70127
2017-03-29,1.07601,111.027,0.9963,1.24369,1.33332,0.86505,119.456,1.07208,0.7668,138.086,111.421,1.23908,0.70324
2017-03-30,1.06824,111.734,1.00063,1.24693,1.33199,0.85666,119.36,1.0689,0.7653,139.325,111.646,1.24775,0.70049
2017-03-31,1.06729,111.387,1.00127,1.25237,1.32965,0.8522,118.884,1.06869,0.76407,139.499,111.231,1.25393,0.7009
2017-04-03,1.06648,111.004,1.00193,1.24741,1.3387,0.85488,118.382,1.06853,0.76031,138.468,110.781,1.24983,0.70026
2017-04-04,1.06684,110.679,1.002,1.24486,1.34112,0.8567,118.079,1.06899,0.756,137.78,110.449,1.2473,0.69727
2017-04-05,1.06733,110.715,1.0038,1.24917,1.34189,0.85439,118.168,1.0715,0.75777,138.297,110.266,1.25404,0.69723
2017-04-06,1.06456,110.789,1.00504,1.24718,1.34148,0.8534,117.939,1.06991,0.754,138.17,110.217,1.25343,0.697
2017-04-07,1.0591,111.204,1.0087,1.23776,1.3413,0.85563,117.76,1.0687,0.74951,137.646,110.18,1.2488,0.69342
2017-04-10,1.0591,110.975,1.00878,1.24126,1.33326,0.85333,117.54,1.06849,0.74995,137.754,110.005,1.2519,0.69581
